Relations,URL
baby,https://res.cloudinary.com/dfph32nsq/video/upload/v1730125689/baby_m5j2ml.mp4
mother,https://res.cloudinary.com/dfph32nsq/video/upload/v1730125682/mother_xsdqsk.mp4
father,https://res.cloudinary.com/dfph32nsq/video/upload/v1730125688/father_shv0s8.mp4
brother,https://res.cloudinary.com/dfph32nsq/video/upload/v1730125688/brother_zrrtqr.mp4
sister,https://res.cloudinary.com/dfph32nsq/video/upload/v1730125684/sister_bxolqx.mp4
people,https://res.cloudinary.com/dfph32nsq/video/upload/v1730125684/people_jjw2bk.mp4
friend,https://res.cloudinary.com/dfph32nsq/video/upload/v1730125682/friend_kjbxg8.mp4
man,https://res.cloudinary.com/dfph32nsq/video/upload/v1730125683/man_vy9lea.mp4
uncle,https://res.cloudinary.com/dfph32nsq/video/upload/v1734888120/uncle_labelled_uzy4fk.mp4
aunt,https://res.cloudinary.com/dfph32nsq/video/upload/v1734888119/aunt_labelled_nmlweo.mp4
nephew,https://res.cloudinary.com/dfph32nsq/video/upload/v1734888126/nephew_labelled_kqravp.mp4
niece,https://res.cloudinary.com/dfph32nsq/video/upload/v1734888122/niece_labelled_auxqyu.mp4
A,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355180/A-labelled_sed7ad.png
B,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355180/B-labelled_jppjzn.png
C,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355181/C-labelled_h4kxsi.png
D,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355181/D-labelled_sbsek7.png
E,https://res.cloudinary.com/dfph32nsq/image/upload/v1730355182/E-labelled_bovjls.png
